column_name,mean,std,min,max,missing_count
Air Temperature,12.623668864588323,10.43564268896585,-29.78,37.6,75
Wet Bulb Temperature,10.274423859765722,9.40407790355065,-28.9,28.4,75951
Humidity,68.02431731704708,15.633816813033283,0.0,100.0,0
Rain Intensity,0.15892165822048684,1.793993241568453,0.0,183.6,75951
Interval Rain,0.14236261021490312,1.0969010444134186,-0.9,63.42,0
Total Rain,141.4817944670599,190.4565216825532,0.0,1056.1,75951
Precipitation Type,4.269377751931544,15.592747796160088,0.0,70.0,75951
Wind Direction,140.8030979874797,122.00849304236674,0.0,359.0,0
Wind Speed,2.91877842920523,5.341772350365375,0.0,999.9,0
Maximum Wind Speed,3.556921062953021,5.955003528613844,0.0,999.9,0
Barometric Pressure,994.3133768319102,10.029021056438323,0.0,3098.5,146
Solar Radiation,112.34632566052537,842.7909490205008,-100000.0,1277.0,0
Heading,281.9693362133422,142.7700397472547,0.0,359.0,75951
Battery Life,13.16326424580152,1.5446166434714208,0.0,15.3,0
